종목명,분기,기업코드,유동자산,부채총계,청산가치
코미코,2021년 1분기 보고서,00997812,51874768622,68318153873,-16443385251
네오크레마,2021년 1분기 보고서,01219155,23929554503,8646956622,15282597881
모트렉스,2021년 1분기 보고서,00876908,99964896362,129294025881,-29329129519
에스티오,2021년 1분기 보고서,00612188,44001085054,40195703147,3805381907
OCI,2021년 1분기 보고서,00148896,870483721000,1048755548000,-178271827000
텔레칩스,2021년 1분기 보고서,00423177,96746879622,87621866242,9125013380
HRS,2021년 1분기 보고서,00230911,35121254048,12941197222,22180056826
덕성,2021년 1분기 보고서,00114093,57979604698,39021230628,18958374070
성문전자,2021년 1분기 보고서,00132628,12015357684,6030699588,5984658096
한국유니온제약,2021년 1분기 보고서,00532855,41571724197,29026410227,12545313970
넥센타이어,2021년 1분기 보고서,00173874,895698224605,1107955135671,-212256911066
KG케미칼,2021년 1분기 보고서,00101220,78937129870,144950467258,-66013337388
도이치모터스,2021년 1분기 보고서,00449379,141670263763,319867865730,-178197601967
PI첨단소재,2021년 1분기 보고서,00767460,158623906644,138360286964,20263619680
한국철강,2021년 1분기 보고서,00687711,533441189966,171045532864,362395657102
KISCO홀딩스,2021년 1분기 보고서,00159740,100195456578,5128968615,95066487963
핑거,2021년 1분기 보고서,01142075,35618648716,12898960001,22719688715
보령제약,2021년 1분기 보고서,00123143,321605522940,307076290747,14529232193
큐리언트,2021년 1분기 보고서,01042650,4200953628,5762492000,-1561538372
송원산업,2021년 1분기 보고서,00134963,331046000000,398345000000,-67299000000
메디아나,2021년 1분기 보고서,00273439,54371078348,10961816414,43409261934
와이엠씨,2021년 1분기 보고서,00870861,65172735302,26367226270,38805509032
예선테크,2021년 1분기 보고서,01166109,21548901154,26798433132,-5249531978
티에스아이,2021년 1분기 보고서,01139035,40123513576,24310586384,15812927192
마이크로프랜드,2021년 1분기 보고서,00654175,37145501193,19628003290,17517497903
서플러스글로벌,2021년 1분기 보고서,00599285,136210218468,112565727824,23644490644
코스모신소재,2021년 1분기 보고서,00129989,140531066424,174721999512,-34190933088
메디톡스,2021년 1분기 보고서,00580199,111446897091,206081692628,-94634795537
대한제강,2021년 1분기 보고서,00113225,312283436976,206928098648,105355338328
하나제약,2021년 1분기 보고서,00248974,150713339575,53761883136,96951456439
롯데지주,2021년 1분기 보고서,00120562,7243087224951,21179372000,7221907852951
GS리테일,2021년 1분기 보고서,00140177,912680395755,3331876105001,-2419195709246
서연,2021년 1분기 보고서,00163114,28628817961,5911875714,22716942247
한일네트웍스,2021년 1분기 보고서,00277736,50840438098,62124921795,-11284483697
인지디스플레,2021년 1분기 보고서,00265421,71137585368,187141606712,-116004021344
위세아이텍,2021년 1분기 보고서,00374738,24550753655,15268362568,9282391087
