,종목명,종목코드,기업코드,수정일
653,덴티스,261200,01187494,20210223
654,JW생명과학,234080,00225706,20210224
655,에이스토리,241840,00975290,20210225
656,보광산업,225530,00568461,20210223
657,에스케이커뮤니케이션즈,066270,00361725,20210223
658,알바이오,003190,00112004,20210224
659,이엔에프테크놀로지,102710,00530185,20210226
660,인텔리안테크,189300,00664181,20210226
661,원익IPS,240810,01135941,20210302
662,비피도,238200,01109070,20210224
663,대림비앤코,005750,00109754,20210224
664,유니트론텍,142210,00879020,20210224
665,서원,021050,00131197,20210224
666,잘만테크,090120,00491336,20210224
667,천랩,311690,01071041,20210224
668,씨이랩,189330,00991298,20210224
669,미래컴퍼니,049950,00447760,20210224
670,랩지노믹스,084650,00545114,20210224
671,넥스피안,079560,00481223,20210223
672,티웨이항공,091810,00671376,20210223
673,에이팩트,200470,00667425,20210226
674,유수홀딩스,000700,00163691,20210225
675,쎌바이오텍,049960,00357430,20210226
676,에스피시스템스,317830,00624749,20210226
677,삼목에스폼,018310,00125646,20210224
678,신세계톰보이,012580,00132488,20210224
679,씨티케이코스메틱스,260930,01144028,20210224
680,호전실업,111110,00226316,20210224
681,JW홀딩스,096760,00632304,20210224
682,맥스로텍,141070,00678096,20210225
683,옵트론텍,082210,00327396,20210225
684,유바이오로직스,206650,00927558,20210224
685,디티알오토모티브,007340,00116949,20210226
686,한신기계공업,011700,00162072,20210226
687,아진산업,013310,00139083,20210302
688,에이아이비트,039230,00295370,20210312
689,SNT중공업,003570,00134477,20210312
690,내츄럴엔도텍,168330,00923792,20210312
691,SNT모티브,064960,00398792,20210312
692,SNT에너지,100840,00648721,20210312
693,보성파워텍,006910,00267881,20210323
694,한진,002320,00163512,20210329
695,싸이토젠,217330,01046391,20210224
696,엘피케이로보틱스,183350,00989327,20210225
697,대주이엔티,114920,00414540,20210225
698,진로발효,018120,00170877,20210302
699,유니포인트,121060,00445869,20210302
700,모두투어리츠,204210,01035289,20210302
701,피에스엠씨,024850,00155586,20210302
702,동부건설,005960,00115612,20210312
703,테라텍,151750,00665630,20210323
704,한국미라클피플사,331660,01363924,20210323
705,이엔코퍼레이션,066980,00389998,20210324
706,알리코제약,260660,00447007,20210324
707,한신공영,004960,00162063,20210324
708,석경에이티,357550,00921916,20210329
709,릭스솔루션,029480,00186452,20210330
710,대성에너지,117580,00787376,20210330
711,코오롱인더,120110,00795135,20210330
712,현우산업,092300,00367455,20210330
713,라온시큐어,042510,00255433,20210224
714,이노메트리,302430,01258710,20210224
715,제이티,089790,00365457,20210225
716,엄지하우스,224810,00607797,20210225
717,시그넷이브이,260870,01188730,20210225
718,미투온,201490,00965813,20210225
719,스튜디오드래곤,253450,01168684,20210225
720,서연탑메탈,019770,00153278,20210225
721,까스텔바작,308100,01181807,20210302
722,케이비캐피탈,021960,00161408,20210315
723,나라소프트,288490,01267550,20210315
724,빅솔론,093190,00478900,20210324
725,롯데제과,280360,01258507,20210324
726,제이씨케미칼,137950,00664853,20210324
727,고려시멘트,198440,01032583,20210324
728,슈프리마,236200,01124653,20210324
729,제노코,361390,01014718,20210324
730,라이트론,069540,00367482,20210330
731,우리바이오,082850,00369107,20210331
732,스페이스솔루션,245030,00664288,20210224
733,해태제과식품,101530,00428321,20210224
